sensor_index,date_created,private,location_type,uptime,position_rating,Y,X
131075,1632955574,0,0,18934,5,33.51511,-117.67972
131079,1632955612,0,0,18923,5,37.75315,-122.44364
131077,1632955594,0,0,18891,5,37.93273,-122.03972
131083,1632955622,0,0,18825,5,38.287594,-122.46281
131087,1632955644,0,0,89,5,39.76283,-120.61008
131091,1632955657,0,0,5504,5,37.328453,-122.048836
131089,1632955649,0,0,18945,5,37.752125,-122.43994
131097,1633028780,0,0,18904,0,37.37483,-122.07158
53,1454548891,0,0,3898,5,40.246742,-111.7048
77,1456896339,0,0,18281,5,40.750816,-111.82529
131190,1633034575,0,0,7194,5,39.94589,-105.14925
131195,1633034592,0,0,2,5,40.2219,-74.76362
131193,1633034588,0,1,1984,5,0.344828,32.61073
131197,1633034597,0,0,7620,5,40.218304,-74.760216
131203,1633034622,0,0,16312,1,38.521652,-120.82048
131201,1633034610,0,0,17051,5,42.287605,-71.23751
135,1464376452,0,0,3036,5,41.223026,-111.9438
131205,1633034632,0,0,18915,5,42.29583,-71.253525
131211,1633034739,0,0,18945,5,37.226986,-80.212204
131231,1633037514,0,1,18898,0,35.7282,-78.8466
131255,1633039528,0,1,18855,5,40.427025,-111.75665
182,1470082168,0,0,1796,0,49.160076,-123.74227
131259,1633042564,0,0,518,3,34.113136,-77.87975
131257,1633040601,0,0,18823,5,37.95144,-121.98193
195,1470083084,0,0,87,5,41.059727,-124.12889
131265,1633044054,0,0,14380,5,19.96625,-155.85226
131279,1633106578,0,0,18822,5,39.98117,-105.15552
131281,1633106582,0,0,78,5,40.232094,-74.77151
131287,1633106604,0,0,18826,5,34.182487,-92.005974
131285,1633106597,0,0,18791,5,42.45333,-71.006454
131291,1633106615,0,0,18810,5,34.62277,-92.43314
131289,1633106610,0,0,16301,5,34.723907,-92.345764
131295,1633106625,0,0,246,5,20.703815,-100.445145
131293,1633106619,0,0,9449,5,42.121555,-72.75205
131315,1633106695,0,0,1434,4,18.227839,-66.03447
131317,1633106699,0,0,7492,5,40.59127,-105.10347
131327,1633111337,0,0,18830,5,42.08482,-71.62606
131335,1633111397,0,0,18893,5,41.669945,-70.902306
131343,1633111514,0,0,1,5,40.222046,-74.76284
131347,1633111527,0,0,18945,3,41.76484,-71.12986
131345,1633111520,0,0,288,5,18.412493,-66.03264
131355,1633111558,0,0,16441,5,40.567772,-105.12439
131353,1633111554,0,0,18948,5,32.682343,-115.494675
286,1473187186,0,0,7055,0,49.48426,-124.266624
131365,1633365592,0,1,18916,0,37.80039,-122.41072
131373,1633372718,0,0,36,0,44.049168,-70.869156
131379,1633377278,0,0,18819,4,39.96028,-83.006294
314,1473904717,0,0,18345,1,39.43402,-104.73237
322,1473909821,0,0,18369,5,35.224293,-111.60618
324,1473909918,0,0,18282,5,34.48263,136.16336
328,1474512477,0,0,18352,5,50.690514,-120.35601
131403,1633384259,0,0,18901,5,41.66893,-70.90374
332,1474512533,0,0,18346,5,50.63948,-120.35742
334,1474512662,0,0,18336,5,50.70089,-120.412575
344,1474521154,0,0,18349,5,49.322437,-124.33304
348,1474521295,0,0,3550,0,49.15843,-123.723564
131421,1633384315,0,0,18822,4,39.983513,-105.182
131431,1633384635,0,0,18829,1,37.624493,-122.44617
131435,1633384636,0,0,10671,5,37.624477,-122.41409
131455,1633384873,0,0,18828,5,40.23745,-74.74114
131459,1633384882,0,0,18891,3,26.884792,-80.055786
131457,1633384880,0,0,10979,5,40.20565,-74.80565
131479,1633457590,0,0,18826,5,33.519978,-86.740654
407,1476477823,0,0,18,5,33.842,-118.33769
131483,1633458540,0,0,18892,5,40.236732,-74.7901
131485,1633461099,0,0,18891,5,42.681007,-71.15795
417,1476482843,0,0,18350,5,33.716675,-118.309906
131489,1633461112,0,1,11007,5,-27.462746,153.09898
131507,1633461182,0,1,146,1,37.951515,23.738203
443,1478491864,0,0,18347,5,41.224422,-111.968376
